year,month,source,n,yearmon
2019,APR,El Salvador,11202,2019-04-01
2019,APR,Guatemala,33521,2019-04-01
2019,APR,Honduras,31492,2019-04-01
2019,APR,Mexico,21535,2019-04-01
2019,APR,Other,11665,2019-04-01
2019,AUG,El Salvador,6076,2019-08-01
2019,AUG,Guatemala,8750,2019-08-01
2019,AUG,Honduras,15592,2019-08-01
2019,AUG,Mexico,21241,2019-08-01
2019,AUG,Other,11048,2019-08-01
2019,DEC,El Salvador,3934,2019-12-01
2019,DEC,Guatemala,22152,2019-12-01
2019,DEC,Honduras,14717,2019-12-01
2019,DEC,Mexico,13941,2019-12-01
2019,DEC,Other,6050,2019-12-01
2019,FEB,El Salvador,5522,2019-02-01
2019,FEB,Guatemala,24250,2019-02-01
2019,FEB,Honduras,22610,2019-02-01
2019,FEB,Mexico,17903,2019-02-01
2019,FEB,Other,6260,2019-02-01
2019,JAN,El Salvador,3804,2019-01-01
2019,JAN,Guatemala,18978,2019-01-01
2019,JAN,Honduras,13440,2019-01-01
2019,JAN,Mexico,16569,2019-01-01
2019,JAN,Other,5526,2019-01-01
2019,JUL,El Salvador,9976,2019-07-01
2019,JUL,Guatemala,14536,2019-07-01
2019,JUL,Honduras,24897,2019-07-01
2019,JUL,Mexico,18603,2019-07-01
2019,JUL,Other,13765,2019-07-01
2019,JUN,El Salvador,12725,2019-06-01
2019,JUN,Guatemala,24868,2019-06-01
2019,JUN,Honduras,29675,2019-06-01
2019,JUN,Mexico,20855,2019-06-01
2019,JUN,Other,16188,2019-06-01
2019,MAR,El Salvador,9302,2019-03-01
2019,MAR,Guatemala,34030,2019-03-01
2019,MAR,Honduras,29390,2019-03-01
2019,MAR,Mexico,22318,2019-03-01
2019,MAR,Other,8691,2019-03-01
2019,MAY,El Salvador,16134,2019-05-01
2019,MAY,Guatemala,45306,2019-05-01
2019,MAY,Honduras,42720,2019-05-01
2019,MAY,Mexico,23126,2019-05-01
2019,MAY,Other,16830,2019-05-01
2019,NOV,El Salvador,5201,2019-11-01
2019,NOV,Guatemala,19958,2019-11-01
2019,NOV,Honduras,14409,2019-11-01
2019,NOV,Mexico,16982,2019-11-01
2019,NOV,Other,5919,2019-11-01
2019,OCT,El Salvador,4853,2019-10-01
2019,OCT,Guatemala,18152,2019-10-01
2019,OCT,Honduras,13059,2019-10-01
2019,OCT,Mexico,19542,2019-10-01
2019,OCT,Other,5175,2019-10-01
2019,SEP,El Salvador,3622,2019-09-01
2019,SEP,Guatemala,5697,2019-09-01
2019,SEP,Honduras,9121,2019-09-01
2019,SEP,Mexico,24463,2019-09-01
2019,SEP,Other,9643,2019-09-01
2020,APR,El Salvador,553,2020-04-01
2020,APR,Guatemala,1357,2020-04-01
2020,APR,Honduras,1891,2020-04-01
2020,APR,Mexico,11995,2020-04-01
2020,APR,Other,1310,2020-04-01
2020,AUG,El Salvador,1478,2020-08-01
2020,AUG,Guatemala,4146,2020-08-01
2020,AUG,Honduras,4028,2020-08-01
2020,AUG,Mexico,36927,2020-08-01
2020,AUG,Other,3435,2020-08-01
2020,DEC,El Salvador,1939,2020-12-01
2020,DEC,Guatemala,6490,2020-12-01
2020,DEC,Honduras,4382,2020-12-01
2020,DEC,Mexico,20250,2020-12-01
2020,DEC,Other,7504,2020-12-01
2020,FEB,El Salvador,1488,2020-02-01
2020,FEB,Guatemala,4885,2020-02-01
2020,FEB,Honduras,2977,2020-02-01
2020,FEB,Mexico,22095,2020-02-01
2020,FEB,Other,5242,2020-02-01
2020,JAN,El Salvador,1330,2020-01-01
2020,JAN,Guatemala,4580,2020-01-01
2020,JAN,Honduras,2778,2020-01-01
2020,JAN,Mexico,21872,2020-01-01
2020,JAN,Other,6025,2020-01-01
2020,JUL,El Salvador,947,2020-07-01
2020,JUL,Guatemala,2418,2020-07-01
